_id,代码,股票名称
ObjectId(5d84193b067cbab2e441580d),603199,九华旅游
ObjectId(5d84193b067cbab2e441580e),603214,爱婴室
ObjectId(5d84193b067cbab2e441580f),603197,保隆科技
ObjectId(5d84193b067cbab2e4415810),603198,迎驾贡酒
ObjectId(5d84193b067cbab2e4415811),603196,日播时尚
ObjectId(5d84193b067cbab2e4415812),603192,汇得科技
ObjectId(5d84193b067cbab2e4415813),603189,网达软件
ObjectId(5d84193b067cbab2e4415814),603188,亚邦股份
ObjectId(5d84193b067cbab2e4415815),603187,海容冷链
ObjectId(5d84193b067cbab2e4415816),603186,华正新材
ObjectId(5d84193b067cbab2e4415817),603185,上机数控
ObjectId(5d84193b067cbab2e4415818),603183,建研院
ObjectId(5d84193b067cbab2e4415819),603181,DR皇马科
ObjectId(5d84193b067cbab2e441581a),603180,金牌厨柜
ObjectId(5d84193b067cbab2e441581b),603179,新泉股份
ObjectId(5d84193b067cbab2e441581c),603178,圣龙股份
ObjectId(5d84193b067cbab2e441581d),603177,德创环保
ObjectId(5d84193b067cbab2e441581e),603169,兰石重装
ObjectId(5d84193b067cbab2e441581f),603168,莎普爱思
ObjectId(5d84193b067cbab2e4415820),603167,渤海轮渡
ObjectId(5d84193b067cbab2e4415821),603166,福达股份
ObjectId(5d84193b067cbab2e4415822),603165,荣晟环保
ObjectId(5d84193b067cbab2e4415823),603161,科华控股
ObjectId(5d84193b067cbab2e4415824),603159,上海亚虹
ObjectId(5d84193b067cbab2e4415825),603160,汇顶科技
ObjectId(5d84193b067cbab2e4415826),603156,养元饮品
ObjectId(5d84193b067cbab2e4415827),603158,腾龙股份
ObjectId(5d84193b067cbab2e4415828),603157,拉夏贝尔
ObjectId(5d84193b067cbab2e4415829),603139,康惠制药
ObjectId(5d84193b067cbab2e441582a),603138,海量数据
ObjectId(5d84193b067cbab2e441582b),603136,天目湖
ObjectId(5d84193b067cbab2e441582c),603133,碳元科技
ObjectId(5d84193b067cbab2e441582d),603131,上海沪工
ObjectId(5d84193b067cbab2e441582e),603129,春风动力
ObjectId(5d84193b067cbab2e441582f),603127,昭衍新药
ObjectId(5d84193b067cbab2e4415830),603128,华贸物流
ObjectId(5d84193b067cbab2e4415831),603123,翠微股份
ObjectId(5d84193b067cbab2e4415832),603126,中材节能
ObjectId(5d84193b067cbab2e4415833),603118,共进股份
ObjectId(5d84193b067cbab2e4415834),603121,华培动力
ObjectId(5d84193b067cbab2e4415835),603117,万林物流
ObjectId(5d84193b067cbab2e4415836),603116,红蜻蜓
ObjectId(5d84193b067cbab2e4415837),603113,金能科技
ObjectId(5d84193b067cbab2e4415838),603111,康尼机电
ObjectId(5d84193b067cbab2e4415839),603110,东方材料
ObjectId(5d84193b067cbab2e441583a),603108,润达医疗
ObjectId(5d84193b067cbab2e441583b),603106,恒银金融
ObjectId(5d84193b067cbab2e441583c),603105,芯能科技
ObjectId(5d84193b067cbab2e441583d),603103,横店影视
ObjectId(5d84193b067cbab2e441583e),603101,汇嘉时代
ObjectId(5d84193b067cbab2e441583f),603096,新经典
ObjectId(5d84193b067cbab2e4415840),603090,宏盛股份
ObjectId(5d84193b067cbab2e4415841),603089,正裕工业
ObjectId(5d84193b067cbab2e4415842),603088,宁波精达
ObjectId(5d84193b067cbab2e4415843),603086,先达股份
ObjectId(5d84193b067cbab2e4415844),603085,天成自控
ObjectId(5d84193b067cbab2e4415845),603083,剑桥科技
ObjectId(5d84193b067cbab2e4415846),603099,长白山
ObjectId(5d84193b067cbab2e4415847),603080,新疆火炬
ObjectId(5d84193b067cbab2e4415848),603081,大丰实业
ObjectId(5d84193b067cbab2e4415849),603079,圣达生物
ObjectId(5d84193b067cbab2e441584a),603078,江化微
ObjectId(5d84193b067cbab2e441584b),603098,森特股份
ObjectId(5d84193b067cbab2e441584c),603077,和邦生物
ObjectId(5d84193b067cbab2e441584d),603076,乐惠国际
ObjectId(5d84193b067cbab2e441584e),603100,川仪股份
ObjectId(5d84193b067cbab2e441584f),603069,海汽集团
ObjectId(5d84193b067cbab2e4415850),603068,博通集成
ObjectId(5d84193b067cbab2e4415851),603067,振华股份
ObjectId(5d84193b067cbab2e4415852),603063,禾望电气
ObjectId(5d84193b067cbab2e4415853),603066,音飞储存
ObjectId(5d84193b067cbab2e4415854),603060,国检集团
ObjectId(5d84193b067cbab2e4415855),603058,永吉股份
ObjectId(5d84193b067cbab2e4415856),603059,倍加洁
ObjectId(5d84193b067cbab2e4415857),603056,德邦股份
ObjectId(5d84193b067cbab2e4415858),603055,台华新材
ObjectId(5d84193b067cbab2e4415859),603050,科林电气
ObjectId(5d84193b067cbab2e441585a),603043,广州酒家
ObjectId(5d84193b067cbab2e441585b),603045,福达合金
ObjectId(5d84193b067cbab2e441585c),603041,美思德
ObjectId(5d84193b067cbab2e441585d),603042,华脉科技
ObjectId(5d84193b067cbab2e441585e),603040,新坐标
ObjectId(5d84193b067cbab2e441585f),603039,泛微网络
ObjectId(5d84193b067cbab2e4415860),603038,华立股份
ObjectId(5d84193b067cbab2e4415861),603036,如通股份
